video_id,has_more,cursor,count,comments_list_create_time,comments_list_user_region,comments_list_user_signature,comments_list_user_unique_id,comments_list_user_language,comments_list_user_nickname,comments_list_comment_language,comments_list_text,comments_list_digg_count,comments_list_is_author_digged,comments_list_author_pin,comments_list_share_info_desc,comments_list_share_info_title,comments_list_reply_comment_total
7.208922464087313e+18,,,,,,,,,,,,,,,,,
,True,,,,,,,,,,,,,,,,
,,20.0,,,,,,,,,,,,,,,
,,,19.0,,,,,,,,,,,,,,
,,,,1681719530.0,AU,,madslavv,en,Tik Toker,en,@summer ok maybe we should just go twice winter n summer 😄,3.0,False,False,Tik Toker's comment: @summer ok maybe we should just go twice winter n summer 😄,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1679292978.0,HN,,user1566179106492,es,Ariel maldonado🥰,es,Es Verdaderamente Hermoso Lo que Creo Mi papito Dios 😍,39.0,False,False,Ariel maldonado🥰's comment: Es Verdaderamente Hermoso Lo que Creo Mi papito Dios 😍,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1681815697.0,ID,Jefri di mari ada Jefri jangan lari,jefepep2011,id,Jef • Suka epep,ms,pengen se Switzerland,0.0,False,False,Jef • Suka epep's comment: pengen se Switzerland,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678616847.0,PK,i love Animals.  Feeding Street Animals since Dec 2019.,humanity_909,en,Humanity_909,en,is it Heaven ?,7.0,False,False,Humanity_909's comment: is it Heaven ?,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1678568111.0,KR,"힐 받고가세요🌅

Like the beauty inside you🌠",healer_healing,ko,힐러 Heal🌳,ko,너무 아름답다,7.0,False,False,힐러 Heal🌳's comment: 너무 아름답다,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,0.0
,,,,1679323602.0,GB,make an effort,jannnatfahima,zh,黄佳欣,en,Beautiful,10.0,False,False,黄佳欣's comment: Beautiful,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,1.0
,,,,1678500823.0,FR,💸,user5681710844021,fr,👤,fr,Ma mère aimerait trop sa,859.0,False,False,👤's comment: Ma mère aimerait trop sa,Spring Vibes in Switzerland🇨🇭🌱 #switzerland #swissaround #landscape #nature #swiss ,9.0
